OBJECTID,BLDG_NUM,building_number,BLDG_TYPE,BLDG_NAME,ShowFeatur,latitude,longitude
60,326,326,Greek Housing,Sigma Phi Epsilon,Yes,-84.39332802,33.77666395
61,50,50,Academic/Research,College of Computing,Yes,-84.39737204,33.77735461
64,171,171,Admin/Services,Georgia Tech Hotel and Conference Center,Yes,-84.38916832,33.77634524
65,174,174,Parking / Visitor Parking,Technology Square Parking Deck,Yes,-84.38955129,33.77564521
66,NA,NA,Admin/Services,Storage Building,Yes,-84.4050782,33.7759171
67,NA,NA,Admin/Services,Storage building,Yes,-84.40500587,33.77601439
68,31,31,Admin/Services,Moore Student Success Center,Yes,-84.39395682,33.77244208
70,141B,141B,Parking / Visitor Parking,14th Street Parking Deck,Yes,-84.39531691,33.78520558
71,185,185,Admin/Services,Strong Street Gatehouse,Yes,-84.40321106,33.77035829
72,189,189,Admin/Services,NARA Substation Control House,Yes,-84.40293782,33.76940023
73,163,163,Academic/Research,North Avenue Research Area (NARA),Yes,-84.40608755,33.77180774
74,149,149,Academic/Research,NARA Structures Lab,Yes,-84.4040969,33.77100121
75,159,159,Academic/Research,NARA Food Processing Technology Research,Yes,-84.4038106,33.77043557
76,136,136,Academic/Research,NARA Tech Way Building,Yes,-84.40267903,33.77099055
78,151,151,Academic/Research,NARA Combustion Laboratory,Yes,-84.40266497,33.77040218
79,116,116,Residence Halls,Woodruff Residence Hall,Yes,-84.40677223,33.77910112
80,119,119,Residence Halls,Fitten Residence Hall,Yes,-84.40373415,33.77822614
81,105,105,Residence Halls,Commander Building,Yes,-84.40392124,33.77888217
82,131,131,Residence Halls,Hemphill Avenue Apartments,Yes,-84.40327088,33.78010877
83,110,110,Residence Halls,Folk Residence Hall,Yes,-84.40484094,33.77886482
85,73,73,Athletic,McCamish Pavilion,Yes,-84.39281162,33.78064558
86,32,32,Admin/Services,Facilities,Yes,-84.39314058,33.77992028
87,175,175,Academic/Research,Technology Square Research Building,Yes,-84.39009757,33.7773841
89,32A,032A,Admin/Services,Facilities,Yes,-84.39274774,33.77997427
90,73A,073A,Athletic,Luck Building,Yes,-84.3922295,33.78027212
91,33B,033B,Admin/Services,O'Keefe Custodial Services Building,Yes,-84.39245624,33.77933857
92,33C,033C,Academic/Research,O'Keefe Storage Facility,Yes,-84.39250732,33.77895314
93,155,155,Admin/Services,Georgia Tech Research Corporation,Yes,-84.40393638,33.78168285
94,155B,155B,Admin/Services,Grants and Contracts,Yes,-84.40361392,33.78170302
95,133A,133A,Admin/Services,10th Street Chiller Plant Addition,Yes,-84.40244732,33.78106241
96,152,152,Academic/Research,Broadband Institute Residential Laboratory,Yes,-84.40290681,33.78173404
97,790,790,Academic/Research,Centennial Research Building,Yes,-84.40037172,33.78100366
99,182,182,Parking / Visitor Parking,Family Housing Deck,Yes,-84.39496869,33.78219953
100,71,71,Admin/Services,President's House,Yes,-84.39576412,33.78097002
101,71A,071A,Admin/Services,President's Cottage,Yes,-84.39677334,33.7809936
102,161,161,Admin/Services,Facilities Waste Storage,Yes,-84.3970182,33.7811105
103,168,168,Athletic,Russ Chandler Baseball Stadium,Yes,-84.39470161,33.77715524
105,315,315,Greek Housing,Phi Gamma Delta,Yes,-84.39326685,33.7776323
106,321,321,Greek Housing,Psi Upsilon,Yes,-84.39175053,33.77754601
107,310,310,Greek Housing,Kappa Alpha,Yes,-84.39175577,33.77652118
108,148,148,Parking / Visitor Parking,North Campus Parking Deck,Yes,-84.39845435,33.78022205
109,67A,067A,Admin/Services,Facilities Operations Storage,Yes,-84.39713864,33.78089082
110,83C,083C,Admin/Services,Machine Shop,Yes,-84.39673665,33.78073696
111,83C,083C,Admin/Services,Landscape Offices,Yes,-84.39692166,33.78078333
113,67,67,Admin/Services,Facilities Garage/Warehouse,Yes,-84.39755388,33.78064134
114,81,81,Academic/Research,Howey Building,Yes,-84.39867768,33.77743977
115,111A,111A,Academic/Research,Mason Building,Yes,-84.39886154,33.77674199
